edge,machineType,sensorId,min10,max90,median,avg,std
d12,V,d12sncv,0.29,0.32,0.3,0.3009,0.0413
d13,AC,d13sncac,8.207,8.77,8.53,8.5157,0.4458
d13,AF,d13sncaf,3.54,3.72,3.63,3.637,0.2983
d13,H,d13snch,7.67,8.35,8.03,7.8375,1.1956
d13,L,d13sncl,1.28,5.612,5.19,3.9331,2.0641
d13,V,d13sncv,0.28,0.32,0.3,0.298,0.0463
d14,AC,d14sncac,9.96,10.64,10.3,10.3279,0.6048
d14,AF,d14sncaf,3.45,3.65,3.56,3.5807,0.4996
d14,AP,d14sncap,2.48,2.58,2.54,2.5463,0.2467
d14,H,d14snch,6.82,7.41,7.12,6.7904,1.613
d14,L,d14sncl,1.87,4.664,1.95,2.7691,1.7663
d14,V,d14sncv,0.33,0.423,0.34,0.3471,0.0505
d15,AC,d15sncac,10.226,10.9,10.56,10.5562,0.2828
d15,AF,d15sncaf,2.99,3.12,3.06,3.0568,0.088
d15,AP,d15sncap,1.75,1.81,1.78,1.7775,0.0293
d15,H,d15snch,2.04,6.0,5.77,5.0039,1.7405
d15,L,d15sncl,0.56,5.3,0.6,1.5674,1.8786
d15,V,d15sncv,0.29,0.36,0.31,0.3194,0.0306
d16,AC,d16sncac,9.34,9.94,9.63,9.6454,0.4767
d16,AF,d16sncaf,3.37,3.6,3.49,3.4998,0.3423
d16,AP,d16sncap,2.5,2.59,2.55,2.5503,0.1316
d16,H,d16snch,7.31,7.99,7.64,7.536,0.893
d16,L,d16sncl,1.92,5.74,1.99,2.8349,1.7534
d16,V,d16sncv,0.29,0.33,0.31,0.3069,0.039
d17,AC,d17sncac,9.31,9.9,9.62,9.6114,0.2815
d17,AF,d17sncaf,3.09,3.22,3.15,3.1549,0.1492
d17,AP,d17sncap,2.41,2.46,2.43,2.4296,0.0476
d17,H,d17snch,7.557,8.15,7.87,7.4845,1.6105
d17,L,d17sncl,1.48,6.4,1.55,2.425,2.0212
d17,V,d17sncv,0.232,0.368,0.3,0.2916,0.0552
d18,AC,d18sncac,8.99,9.45,9.205,9.2355,0.5072
d18,AF,d18sncaf,3.06,3.22,3.11,3.1275,0.0581
